total_time;spawn_time;disk_info_time;get_xml_time;image_download_time;image_convert_time;image_copy_time;image_create_time;instance_time;concurrent_instances
45221;20659;32;5501;11213;2248;425;184;2233;30
44966;20885;5;2101;11213;2248;343;147;5253;30
44770;20127;16;1370;11213;2248;507;253;5150;30
45242;21316;39;2687;11213;2248;312;194;5273;30
45183;20570;4;4036;11213;2248;383;163;5885;30
45024;20171;15;3333;11213;2248;333;151;5560;30
45127;20486;7;3662;11213;2248;596;257;5771;30
45371;20545;8;1656;11213;2248;354;132;5301;30
45636;20361;13;3578;11213;2248;378;193;5698;30
33724;23941;7;3464;10551;5560;115;67;2141;30
35538;13793;5;3815;10551;5560;157;80;2419;30
35775;14161;37;3865;10551;5560;160;79;2713;30
36656;14004;44;4513;10551;5560;189;99;2803;30
36977;14445;35;4138;10551;5560;152;92;3402;30
36751;14646;14;4696;10551;5560;189;94;3004;30
39508;24876;18;4992;10551;5560;234;118;3408;30
39755;22109;17;5359;10551;5560;203;110;2744;30
41644;19080;9;5371;10551;5560;301;171;3276;30
42265;22364;17;5250;10551;5560;254;120;3790;30
43906;21020;8;5499;10551;5560;311;136;3701;30
43938;23385;28;5714;10551;5560;353;175;5287;30
44011;22766;41;5341;10551;5560;361;177;5421;30
44105;22128;13;3761;10551;5560;349;161;4756;30
44625;25298;25;2881;10551;5560;336;153;4847;30
44266;23232;29;5348;10551;5560;398;178;4766;30
44211;22858;36;5243;10551;5560;395;184;5929;30
44697;23961;14;2681;10551;5560;501;258;4787;30
44117;22354;19;4453;10551;5560;407;208;4921;30
44264;22503;37;4677;10551;5560;413;165;5118;30
44470;22186;8;4005;10551;5560;433;214;4866;30
44731;23312;35;5653;10551;5560;362;158;4918;30
44642;22074;8;3133;10551;5560;506;327;4637;30
44503;22430;34;5009;10551;5560;438;214;5252;30
45026;21178;37;5473;10551;5560;329;162;4171;30
44877;22685;51;2205;10551;5560;266;139;4549;30
44596;22849;5;1574;10551;5560;345;166;5217;30
45002;22784;16;1939;10551;5560;275;145;4932;30
44979;23548;35;2510;10551;5560;381;212;4760;30
45237;22945;44;5301;10551;5560;388;178;4387;30
35922;24710;6;3315;10509;6810;123;75;2034;30
36943;18895;15;3591;10509;6810;127;75;2252;30
37340;18721;21;3547;10509;6810;169;106;3079;30
37772;18850;28;3802;10509;6810;172;95;2773;30
37438;19255;36;3951;10509;6810;285;187;2840;30
37638;18441;33;3962;10509;6810;221;125;2409;30
37999;21006;20;3965;10509;6810;259;122;2506;30
38458;22986;18;4031;10509;6810;263;143;2809;30
38748;22767;16;4080;10509;6810;189;96;2630;30
38457;21328;17;4243;10509;6810;291;171;1777;30
38751;22916;18;4005;10509;6810;214;106;2968;30
38959;21273;33;4055;10509;6810;269;128;2332;30
39874;21272;26;4290;10509;6810;359;168;1847;30
39560;21837;29;4490;10509;6810;359;180;1586;30
40558;22219;23;4359;10509;6810;303;132;1779;30
43104;22543;26;4620;10509;6810;285;136;1777;30
44107;26497;28;4932;10509;6810;248;115;5174;30
44157;26179;34;4337;10509;6810;266;128;4934;30
44181;26023;26;3687;10509;6810;329;187;4710;30
44704;26879;31;1980;10509;6810;268;128;4757;30
44853;27920;35;3112;10509;6810;403;214;4781;30
44965;26426;21;4657;10509;6810;226;121;5056;30
45237;29353;26;3471;10509;6810;370;172;4548;30
45019;26568;36;4815;10509;6810;251;104;3633;30
45055;26101;33;4117;10509;6810;414;198;4770;30
44906;26847;29;4883;10509;6810;273;146;3919;30
45096;24840;26;4646;10509;6810;282;130;1944;30
45170;26493;23;1727;10509;6810;392;215;4760;30
45072;27261;35;2408;10509;6810;369;136;4796;30
45998;27615;30;2791;10509;6810;358;137;4727;30
