total_time;spawn_time;disk_info_time;get_xml_time;image_download_time;image_convert_time;image_copy_time;image_create_time;instance_time;concurrent_instances
32513;14468;101;3627;1072;248;468;201;2154;30
32347;12644;59;3759;1072;248;448;148;1810;30
32184;14363;84;3388;1072;248;359;165;4054;30
32433;13994;101;2917;1072;248;270;105;3499;30
32755;14611;104;3900;1072;248;466;180;2332;30
32526;13633;64;1379;1072;248;280;117;3444;30
32861;14020;125;2424;1072;248;294;149;3467;30
32786;14164;49;2517;1072;248;318;120;3670;30
32914;13938;98;2155;1072;248;252;120;3592;30
33066;13512;107;1165;1072;248;369;212;3397;30
33337;13732;58;1600;1072;248;266;120;3411;30
33063;14356;69;2725;1072;248;201;67;3911;30
33473;13843;58;1919;1072;248;254;94;3475;30

