"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.407,0.094,99.280,0.219,0.0,0.0,11157340160.0,381612032.0,13593387008.0,42380263424.0,4992.0,438.0,0.0,24576.0,1438012000.258,0.0,3.0
0.531,0.219,99.250,0.0,0.0,0.0,11156410368.0,381612032.0,13593387008.0,42381193216.0,3257.0,438.0,0.0,0.0,1438012001.258,0.0,0.0
0.438,0.125,99.436,0.0,0.0,0.0,11156414464.0,381612032.0,13593387008.0,42381189120.0,2563.0,422.0,0.0,0.0,1438012002.258,0.0,0.0
0.376,0.094,99.467,0.063,0.0,0.0,11156570112.0,381612032.0,13593387008.0,42381033472.0,4992.0,422.0,0.0,24576.0,1438012003.258,0.0,3.0
0.907,0.344,98.686,0.063,0.0,0.0,11157590016.0,381612032.0,13593395200.0,42380005376.0,3327.0,556.0,0.0,28672.0,1438012004.258,0.0,3.0
0.532,0.157,99.061,0.250,0.0,0.0,11157037056.0,381612032.0,13593395200.0,42380558336.0,4954.0,2224.0,0.0,40960.0,1438012005.258,0.0,3.0
0.282,0.094,99.624,0.0,0.0,0.0,11156606976.0,381612032.0,13593395200.0,42380988416.0,5062.0,556.0,0.0,0.0,1438012006.258,0.0,0.0
0.625,0.125,98.781,0.469,0.0,0.0,11155779584.0,381612032.0,13593395200.0,42381815808.0,3257.0,422.0,0.0,7352320.0,1438012007.258,0.0,145.0
0.501,0.031,99.436,0.031,0.0,0.0,11155140608.0,381612032.0,13593395200.0,42382454784.0,2563.0,438.0,0.0,20480.0,1438012008.258,0.0,3.0
0.594,0.156,98.999,0.250,0.0,0.0,11154731008.0,381612032.0,13593399296.0,42382860288.0,4992.0,438.0,0.0,28672.0,1438012009.258,0.0,3.0
0.345,0.157,99.436,0.063,0.0,0.0,11154866176.0,381612032.0,13593399296.0,42382725120.0,3327.0,556.0,0.0,28672.0,1438012010.258,0.0,3.0
0.438,0.094,99.436,0.031,0.0,0.0,11154276352.0,381612032.0,13593403392.0,42383310848.0,6746.0,2673.0,0.0,24576.0,1438012011.258,0.0,3.0
0.345,0.125,99.530,0.0,0.0,0.0,11153895424.0,381612032.0,13593403392.0,42383691776.0,5284.0,438.0,0.0,0.0,1438012012.258,0.0,0.0
0.500,0.188,99.250,0.063,0.0,0.0,11153252352.0,381612032.0,13593403392.0,42384334848.0,3677.0,422.0,0.0,24576.0,1438012013.258,0.0,3.0
1.066,0.313,98.558,0.063,0.0,0.0,11153018880.0,381612032.0,13593403392.0,42384568320.0,2563.0,438.0,0.0,28672.0,1438012014.258,0.0,3.0
2.035,0.313,97.245,0.313,0.0,0.094,11154075648.0,381612032.0,13593423872.0,42383491072.0,79453.0,133025.0,0.0,73728.0,1438012015.258,0.0,9.0
0.626,0.156,99.218,0.0,0.0,0.0,11154419712.0,381612032.0,13593423872.0,42383147008.0,3257.0,438.0,0.0,0.0,1438012016.258,0.0,0.0
0.501,0.125,98.811,0.563,0.0,0.0,11154018304.0,381612032.0,13593423872.0,42383548416.0,2703.0,1250.0,0.0,2666496.0,1438012017.258,0.0,75.0
0.469,0.250,99.218,0.063,0.0,0.0,11153424384.0,381612032.0,13593423872.0,42384142336.0,4992.0,438.0,0.0,45056.0,1438012018.258,0.0,6.0
0.532,0.188,99.249,0.031,0.0,0.0,11153592320.0,381612032.0,13593423872.0,42383974400.0,3257.0,438.0,0.0,20480.0,1438012019.258,0.0,3.0
0.626,0.282,99.030,0.063,0.0,0.0,11153657856.0,381612032.0,13593427968.0,42383904768.0,2563.0,438.0,0.0,32768.0,1438012020.258,0.0,3.0
0.439,0.125,99.373,0.063,0.0,0.0,11153920000.0,381612032.0,13593432064.0,42383638528.0,4992.0,438.0,0.0,20480.0,1438012021.258,0.0,3.0
0.407,0.188,99.405,0.0,0.0,0.0,11152523264.0,381612032.0,13593436160.0,42385031168.0,3257.0,438.0,0.0,0.0,1438012022.258,0.0,0.0
0.438,0.156,99.311,0.094,0.0,0.0,11151884288.0,381612032.0,13593440256.0,42385666048.0,2563.0,422.0,0.0,32768.0,1438012023.258,0.0,4.0
2.415,0.565,96.895,0.094,0.0,0.031,11153895424.0,381612032.0,13593468928.0,42383626240.0,4992.0,438.0,0.0,114688.0,1438012024.258,0.0,8.0
0.594,0.156,99.186,0.063,0.0,0.0,11153211392.0,381612032.0,13593493504.0,42384285696.0,5578.0,2036.0,0.0,28672.0,1438012025.258,0.0,4.0
0.625,0.156,99.187,0.031,0.0,0.0,11152891904.0,381612032.0,13593571328.0,42384527360.0,2563.0,438.0,0.0,0.0,1438012026.258,0.0,0.0
0.501,0.094,99.186,0.219,0.0,0.0,11153022976.0,381612032.0,13593587712.0,42384379904.0,4992.0,422.0,0.0,1003520.0,1438012027.258,0.0,40.0
0.438,0.156,99.280,0.125,0.0,0.0,11152945152.0,381612032.0,13593587712.0,42384457728.0,3257.0,438.0,0.0,20480.0,1438012028.258,0.0,3.0
0.407,0.125,99.280,0.188,0.0,0.0,11152723968.0,381612032.0,13593587712.0,42384678912.0,2633.0,556.0,0.0,331776.0,1438012029.258,0.0,47.0
0.438,0.219,99.124,0.219,0.0,0.0,11152015360.0,381612032.0,13593591808.0,42385383424.0,4992.0,438.0,0.0,114688.0,1438012030.258,0.0,3.0
0.407,0.094,99.499,0.0,0.0,0.0,11151691776.0,381612032.0,13593591808.0,42385707008.0,3257.0,438.0,0.0,0.0,1438012031.258,0.0,0.0
0.438,0.063,99.468,0.031,0.0,0.0,11151011840.0,381612032.0,13593591808.0,42386386944.0,2563.0,422.0,0.0,0.0,1438012032.258,0.0,0.0
0.376,0.094,99.311,0.219,0.0,0.0,11151220736.0,381612032.0,13593591808.0,42386178048.0,4992.0,422.0,0.0,24576.0,1438012033.258,0.0,3.0
0.969,0.313,98.593,0.094,0.0,0.031,11150278656.0,381612032.0,13593591808.0,42387120128.0,3257.0,438.0,0.0,36864.0,1438012034.258,0.0,5.0
0.563,0.188,99.186,0.063,0.0,0.0,11151257600.0,381612032.0,13593604096.0,42386128896.0,4954.0,2154.0,0.0,53248.0,1438012035.258,0.0,3.0
0.594,0.125,99.250,0.0,0.0,0.031,11149647872.0,381612032.0,13593604096.0,42387738624.0,4992.0,438.0,0.0,0.0,1438012036.258,0.0,0.0
0.469,0.125,99.155,0.250,0.0,0.0,11149901824.0,381612032.0,13593604096.0,42387484672.0,3327.0,540.0,0.0,585728.0,1438012037.258,0.0,25.0
0.469,0.156,99.312,0.062,0.0,0.0,11149594624.0,381612032.0,13593604096.0,42387791872.0,2563.0,438.0,0.0,20480.0,1438012038.258,0.0,3.0
0.438,0.157,99.342,0.063,0.0,0.0,11148697600.0,381612032.0,13593604096.0,42388688896.0,5062.0,556.0,0.0,24576.0,1438012039.258,0.0,4.0
0.562,0.125,99.219,0.094,0.0,0.0,11148025856.0,381612032.0,13593608192.0,42389356544.0,3257.0,438.0,0.0,24576.0,1438012040.258,0.0,3.0
0.439,0.031,99.279,0.251,0.0,0.0,11147616256.0,381612032.0,13593608192.0,42389766144.0,4561.0,1656.0,0.0,20480.0,1438012041.258,0.0,3.0
0.438,0.156,99.406,0.0,0.0,0.0,11147542528.0,381612032.0,13593608192.0,42389839872.0,4992.0,438.0,0.0,0.0,1438012042.258,0.0,0.0
0.594,0.125,99.218,0.063,0.0,0.0,11147345920.0,381612032.0,13593608192.0,42390036480.0,3529.0,422.0,0.0,20480.0,1438012043.258,0.0,3.0
1.095,0.125,98.685,0.094,0.0,0.0,11148173312.0,381612032.0,13593612288.0,42389204992.0,2627.0,438.0,0.0,28672.0,1438012044.258,0.0,3.0
0.564,0.157,99.154,0.125,0.0,0.0,11147493376.0,381612032.0,13593612288.0,42389884928.0,15100.0,11662.0,0.0,77824.0,1438012045.258,0.0,6.0
0.376,0.031,99.561,0.031,0.0,0.0,11147767808.0,381612032.0,13593612288.0,42389610496.0,3257.0,438.0,0.0,0.0,1438012046.258,0.0,0.0
0.720,0.251,98.841,0.188,0.0,0.0,11148095488.0,381612032.0,13593616384.0,42389278720.0,2633.0,540.0,0.0,786432.0,1438012047.258,0.0,33.0
0.500,0.219,99.187,0.094,0.0,0.0,11147362304.0,381612032.0,13593616384.0,42390011904.0,4992.0,438.0,0.0,36864.0,1438012048.258,0.0,5.0
0.531,0.188,99.219,0.063,0.0,0.0,11147096064.0,381612032.0,13593620480.0,42390274048.0,3257.0,438.0,0.0,24576.0,1438012049.258,0.0,4.0
0.469,0.156,99.093,0.281,0.0,0.0,11148681216.0,381612032.0,13593620480.0,42388688896.0,2563.0,438.0,0.0,28672.0,1438012050.258,0.0,3.0
0.500,0.250,99.218,0.031,0.0,0.0,11148066816.0,381612032.0,13593624576.0,42389299200.0,5062.0,556.0,0.0,20480.0,1438012051.258,0.0,3.0
0.532,0.188,99.281,0.0,0.0,0.0,11148181504.0,381612032.0,13593624576.0,42389184512.0,3257.0,438.0,0.0,0.0,1438012052.258,0.0,0.0
0.532,0.156,99.155,0.156,0.0,0.0,11147468800.0,381612032.0,13593624576.0,42389897216.0,2563.0,422.0,0.0,24576.0,1438012053.258,0.0,4.0
1.032,0.219,98.687,0.063,0.0,0.0,11146424320.0,381612032.0,13593628672.0,42390937600.0,4992.0,438.0,0.0,131072.0,1438012054.258,0.0,6.0
0.407,0.157,99.374,0.031,0.0,0.031,11146395648.0,381612032.0,13593649152.0,42390945792.0,5578.0,2036.0,0.0,57344.0,1438012055.258,0.0,3.0
0.376,0.157,99.468,0.0,0.0,0.0,11146981376.0,381612032.0,13593649152.0,42390360064.0,2563.0,438.0,0.0,0.0,1438012056.258,0.0,0.0
0.532,0.094,98.935,0.438,0.0,0.0,11147259904.0,381612032.0,13593649152.0,42390081536.0,4992.0,422.0,0.0,913408.0,1438012057.258,0.0,32.0
0.438,0.094,99.374,0.094,0.0,0.0,11145768960.0,381612032.0,13593649152.0,42391572480.0,3257.0,438.0,0.0,163840.0,1438012058.258,0.0,15.0
0.469,0.063,99.405,0.063,0.0,0.0,11146301440.0,381612032.0,13593649152.0,42391040000.0,2563.0,438.0,0.0,40960.0,1438012059.258,0.0,6.0
0.438,0.125,99.124,0.313,0.0,0.0,11144675328.0,381612032.0,13593649152.0,42392666112.0,4992.0,438.0,0.0,40960.0,1438012060.258,0.0,3.0
0.345,0.094,99.562,0.0,0.0,0.0,11144622080.0,381612032.0,13593653248.0,42392715264.0,3257.0,438.0,0.0,0.0,1438012061.258,0.0,0.0
0.500,0.094,99.406,0.0,0.0,0.0,11145326592.0,381612032.0,13593653248.0,42392010752.0,2563.0,422.0,0.0,0.0,1438012062.258,0.0,0.0
0.407,0.156,99.374,0.063,0.0,0.0,11144818688.0,381612032.0,13593653248.0,42392518656.0,4992.0,422.0,0.0,24576.0,1438012063.258,0.0,3.0
0.752,0.251,98.872,0.125,0.0,0.0,11144904704.0,381612032.0,13593657344.0,42392428544.0,3257.0,438.0,0.0,217088.0,1438012064.258,0.0,39.0
0.563,0.188,99.062,0.156,0.0,0.031,11144720384.0,381612032.0,13593657344.0,42392612864.0,5024.0,2864.0,0.0,53248.0,1438012065.258,0.0,3.0
