total_time;spawn_time;image_time;instance_time;concurrent_instances
30382;23900;15423;4544;10
30486;22698;15329;4316;10
30477;23611;16346;4197;10
30643;22711;15228;4427;10
30700;22820;15181;4350;10
30889;23607;15235;4707;10
30764;23694;15845;4589;10
31140;23150;15441;4824;10
29041;23475;15139;5272;10
29325;23272;15411;5107;10
29387;23274;14804;5490;10
29759;23054;15715;4942;10
29662;23203;15549;5017;10
29672;23161;15488;5103;10
29832;23449;15281;5264;10
30217;23400;15939;4994;10
30379;23708;15340;5349;10
30482;23695;15486;5241;10
32174;25773;18061;4048;10
32168;25483;18399;3783;10
32032;25625;18804;3646;10
32250;25264;18364;3626;10
32358;25338;18110;3769;10
32529;25541;17806;4332;10
32821;25468;17553;4166;10
32932;25738;18220;3951;10
33146;25351;18376;3715;10
33061;25656;18247;3867;10
