"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
4.951,0.595,93.419,0.940,0.0,0.094,11288096768.0,408686592.0,11973156864.0,43842662400.0,76078.0,99988.0,0.0,1540096.0,1438059091.451,0.0,78.0
0.564,0.094,99.186,0.157,0.0,0.0,11285999616.0,408686592.0,11973156864.0,43844759552.0,1352.0,438.0,0.0,573440.0,1438059092.451,0.0,15.0
0.626,0.157,99.123,0.094,0.0,0.0,11285803008.0,408686592.0,11973156864.0,43844956160.0,4166.0,6445.0,0.0,1896448.0,1438059093.451,0.0,27.0
2.198,0.440,96.608,0.722,0.0,0.031,11285405696.0,408686592.0,11973156864.0,43845353472.0,26571.0,10802.0,0.0,884736.0,1438059094.451,0.0,57.0
1.066,0.157,98.495,0.251,0.0,0.031,11284717568.0,408686592.0,11973210112.0,43845988352.0,8568.0,10670.0,0.0,593920.0,1438059095.451,0.0,18.0
5.864,1.129,90.844,2.101,0.0,0.063,11285032960.0,408686592.0,11981258752.0,43837624320.0,110536.0,33683.0,0.0,10592256.0,1438059096.451,0.0,202.0
1.503,0.157,98.153,0.188,0.0,0.0,11284074496.0,408686592.0,11981312000.0,43838529536.0,7681.0,21159.0,0.0,823296.0,1438059097.451,0.0,32.0
0.563,0.125,99.249,0.063,0.0,0.0,11283787776.0,408686592.0,11981697024.0,43838431232.0,2074.0,438.0,0.0,1208320.0,1438059098.451,0.0,28.0
1.597,0.376,97.808,0.188,0.0,0.031,11283689472.0,408686592.0,11981713408.0,43838513152.0,2417.0,14659.0,0.0,503808.0,1438059099.451,0.0,19.0
0.438,0.219,99.248,0.094,0.0,0.0,11282575360.0,408686592.0,11981713408.0,43839627264.0,3098.0,778.0,0.0,319488.0,1438059100.451,0.0,12.0
0.750,0.281,98.874,0.094,0.0,0.0,11285032960.0,408686592.0,11981713408.0,43837169664.0,987.0,1813.0,0.0,245760.0,1438059101.451,0.0,10.0
0.563,0.125,99.249,0.063,0.0,0.0,11283582976.0,408686592.0,11981717504.0,43838615552.0,2074.0,438.0,0.0,212992.0,1438059102.451,0.0,13.0
0.564,0.157,99.123,0.157,0.0,0.0,11282055168.0,408686592.0,11981717504.0,43840143360.0,1292.0,438.0,0.0,495616.0,1438059103.451,0.0,49.0
0.533,0.094,99.311,0.063,0.0,0.0,11281481728.0,408686592.0,11981717504.0,43840716800.0,786.0,438.0,0.0,245760.0,1438059104.451,0.0,12.0
